ID,BARRIO,DISTRITO,ESTADO,LATITUD,LONGITUD,COD_POSTAL,FECHA_INSTALACION,coordenadasGPS,capacidadMax,cantidadJuegosPorTipo,estadoGlobalArea
17261,EL PLANTIO,MONCLOA - ARAVACA,OPERATIVO,40.47397252,-3.83108535,28023,2006-11-07,"[-3.83108535, 40.47397252]",28,"{'deportivas': 0, 'mayores': 0, 'infantiles': 9}",BUENO
17263,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45744061,-3.76592428,28023,2009-04-15,"[-3.76592428, 40.45744061]",28,"{'deportivas': 0, 'mayores': 0, 'infantiles': 9}",BUENO
17265,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.44529871,-3.78821484,28023,2010-04-18,"[-3.78821484, 40.44529871]",22,"{'deportivas': 0, 'mayores': 0, 'infantiles': 1}",BUENO
16852,GOYA,SALAMANCA,OPERATIVO,40.42437629,-3.67312822,28009,2008-09-10,"[-3.67312822, 40.42437629]",13,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",SUFICIENTE
16854,GUINDALERA,SALAMANCA,OPERATIVO,40.43589248,-3.6711392,28028,2006-11-13,"[-3.6711392, 40.43589248]",14,"{'deportivas': 0, 'mayores': 5, 'infantiles': 1}",BUENO
16856,GUINDALERA,SALAMANCA,OPERATIVO,40.4340947,-3.67004254,28028,2005-01-09,"[-3.67004254, 40.4340947]",16,"{'deportivas': 0, 'mayores': 0, 'infantiles': 6}",SUFICIENTE
16858,GUINDALERA,SALAMANCA,OPERATIVO,40.43523779,-3.66915075,28028,2006-05-04,"[-3.66915075, 40.43523779]",14,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
16861,GUINDALERA,SALAMANCA,OPERATIVO,40.43380773,-3.66221399,28028,2007-05-06,"[-3.66221399, 40.43380773]",15,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",BUENO
16863,FUENTE DEL BERRO,SALAMANCA,OPERATIVO,40.42116687,-3.66518241,28028,2008-10-09,"[-3.66518241, 40.42116687]",9,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",BUENO
16865,GOYA,SALAMANCA,OPERATIVO,40.42632767,-3.67005729,28009,2010-10-20,"[-3.67005729, 40.42632767]",8,"{'deportivas': 0, 'mayores': 0, 'infantiles': 1}",SUFICIENTE
16867,CASTILLA,CHAMARTIN,OPERATIVO,40.47927775,-3.67482905,28036,2021-04-22,"[-3.67482905, 40.47927775]",23,"{'deportivas': 0, 'mayores': 0, 'infantiles': 6}",BUENO
16869,CASTILLA,CHAMARTIN,OPERATIVO,40.46803538,-3.68710766,28036,2005-12-21,"[-3.68710766, 40.46803538]",18,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",INSUFICIENTE
16871,CASTILLA,CHAMARTIN,OPERATIVO,40.47022051,-3.68092156,28036,2006-12-12,"[-3.68092156, 40.47022051]",16,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
16873,NUEVA ESPAÑA,CHAMARTIN,OPERATIVO,40.4642951,-3.67059037,28016,2005-12-19,"[-3.67059037, 40.4642951]",19,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
16877,NUEVA ESPAÑA,CHAMARTIN,OPERATIVO,40.46353895,-3.66791139,28016,2006-11-24,"[-3.66791139, 40.46353895]",16,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",SUFICIENTE
17267,CIUDAD UNIVERSITARIA,MONCLOA - ARAVACA,OPERATIVO,40.47272586,-3.74445811,28035,2008-05-10,"[-3.74445811, 40.47272586]",10,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",BUENO
17269,VALDEMARIN,MONCLOA - ARAVACA,OPERATIVO,40.46736426,-3.79246904,28023,2009-11-15,"[-3.79246904, 40.46736426]",15,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17271,CASA DE CAMPO,MONCLOA - ARAVACA,OPERATIVO,40.41240525,-3.73661374,28011,2010-10-15,"[-3.73661374, 40.41240525]",23,"{'deportivas': 0, 'mayores': 0, 'infantiles': 11}",SUFICIENTE
17273,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45312639,-3.79042249,28023,2010-04-12,"[-3.79042249, 40.45312639]",12,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",SUFICIENTE
17275,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45893429,-3.79682754,28023,2011-03-19,"[-3.79682754, 40.45893429]",23,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",INSUFICIENTE
17277,CAMPAMENTO,LATINA,OPERATIVO,40.37996523,-3.79263876,28024,2006-01-19,"[-3.79263876, 40.37996523]",15,"{'deportivas': 0, 'mayores': 0, 'infantiles': 6}",BUENO
17279,CAMPAMENTO,LATINA,OPERATIVO,40.38217342,-3.79113789,28024,2004-12-16,"[-3.79113789, 40.38217342]",10,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",SUFICIENTE
17281,AGUILAS,LATINA,OPERATIVO,40.38415548,-3.77923076,28024,2007-04-25,"[-3.77923076, 40.38415548]",15,"{'deportivas': 0, 'mayores': 0, 'infantiles': 2}",BUENO
17284,AGUILAS,LATINA,OPERATIVO,40.38134712,-3.77938666,28044,2005-02-10,"[-3.77938666, 40.38134712]",17,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",SUFICIENTE
17286,AGUILAS,LATINA,OPERATIVO,40.38008904,-3.77824205,28044,2006-12-29,"[-3.77824205, 40.38008904]",17,"{'deportivas': 0, 'mayores': 0, 'infantiles': 6}",INSUFICIENTE
17288,AGUILAS,LATINA,OPERATIVO,40.38154604,-3.77609021,28044,2006-12-27,"[-3.77609021, 40.38154604]",12,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
17290,AGUILAS,LATINA,OPERATIVO,40.38609098,-3.7672011,28044,2024-03-21,"[-3.7672011, 40.38609098]",16,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17292,ALUCHE,LATINA,OPERATIVO,40.39024297,-3.76685115,28024,2007-01-22,"[-3.76685115, 40.39024297]",10,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",SUFICIENTE
17294,AGUILAS,LATINA,OPERATIVO,40.38296052,-3.76538164,28044,2005-07-11,"[-3.76538164, 40.38296052]",16,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17296,AGUILAS,LATINA,OPERATIVO,40.38082358,-3.76563342,28044,2006-01-27,"[-3.76563342, 40.38082358]",12,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
17298,AGUILAS,LATINA,OPERATIVO,40.38226163,-3.76836634,28044,2005-01-24,"[-3.76836634, 40.38226163]",7,"{'deportivas': 0, 'mayores': 0, 'infantiles': 1}",INSUFICIENTE
17300,AGUILAS,LATINA,OPERATIVO,40.37974052,-3.77162248,28044,2017-05-20,"[-3.77162248, 40.37974052]",21,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",BUENO
17302,AGUILAS,LATINA,OPERATIVO,40.37576305,-3.77186064,28044,2005-01-22,"[-3.77186064, 40.37576305]",14,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",SUFICIENTE
17307,AGUILAS,LATINA,OPERATIVO,40.37803665,-3.76921332,28044,2004-12-15,"[-3.76921332, 40.37803665]",6,"{'deportivas': 0, 'mayores': 0, 'infantiles': 1}",BUENO
17309,AGUILAS,LATINA,OPERATIVO,40.37696903,-3.76193467,28044,2006-01-27,"[-3.76193467, 40.37696903]",11,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",SUFICIENTE
17311,AGUILAS,LATINA,OPERATIVO,40.37734342,-3.75766604,28044,2009-05-15,"[-3.75766604, 40.37734342]",15,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17313,ALUCHE,LATINA,OPERATIVO,40.39212889,-3.74628023,28047,2007-02-02,"[-3.74628023, 40.39212889]",10,"{'deportivas': 0, 'mayores': 0, 'infantiles': 2}",BUENO
17317,ALUCHE,LATINA,OPERATIVO,40.394953,-3.74817459,28047,2007-02-02,"[-3.74817459, 40.394953]",14,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",SUFICIENTE
17319,AGUILAS,LATINA,OPERATIVO,40.37856773,-3.78085499,28044,2017-01-06,"[-3.78085499, 40.37856773]",14,"{'deportivas': 0, 'mayores': 3, 'infantiles': 4}",BUENO
17321,AGUILAS,LATINA,OPERATIVO,40.37538098,-3.77756155,28044,2005-03-18,"[-3.77756155, 40.37538098]",10,"{'deportivas': 0, 'mayores': 0, 'infantiles': 2}",BUENO
17323,AGUILAS,LATINA,OPERATIVO,40.37756368,-3.7771218,28044,2007-01-09,"[-3.7771218, 40.37756368]",19,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",SUFICIENTE
17325,AGUILAS,LATINA,OPERATIVO,40.37493135,-3.77500975,28044,2007-03-01,"[-3.77500975, 40.37493135]",21,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17327,LUCERO,LATINA,OPERATIVO,40.40803429,-3.74982727,28011,2005-04-26,"[-3.74982727, 40.40803429]",10,"{'deportivas': 0, 'mayores': 0, 'infantiles': 2}",SUFICIENTE
17329,LOS CARMENES,LATINA,OPERATIVO,40.40096651,-3.73841292,28047,2005-01-14,"[-3.73841292, 40.40096651]",10,"{'deportivas': 0, 'mayores': 0, 'infantiles': 2}",SUFICIENTE
17330,LOS CARMENES,LATINA,OPERATIVO,40.40044576,-3.73868439,28047,2006-06-19,"[-3.73868439, 40.40044576]",9,"{'deportivas': 1, 'mayores': 0, 'infantiles': 1}",BUENO
17334,CAMPAMENTO,LATINA,OPERATIVO,40.39972961,-3.77404062,28024,2005-01-24,"[-3.77404062, 40.39972961]",9,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17336,LUCERO,LATINA,OPERATIVO,40.39943734,-3.75692905,28011,2006-06-19,"[-3.75692905, 40.39943734]",9,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
17338,LUCERO,LATINA,OPERATIVO,40.40063683,-3.75437103,28011,2007-01-22,"[-3.75437103, 40.40063683]",26,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
16879,HISPANOAMERICA,CHAMARTIN,OPERATIVO,40.45179592,-3.67549903,28016,2006-04-18,"[-3.67549903, 40.45179592]",22,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",SUFICIENTE
