ID,ESTADO,FECHA_INSTALACION,MODELO,tipo_juego,ACCESIBLE,indicadorExposicion,ultimaFechaMantenimiento,desgasteAcumulado,AreaRecreativaID
24966,OPERATIVO,2006-01-01,1030 · DOBLE,infantiles,True,bajo,Ausente,1100,18093
24954,OPERATIVO,2004-01-01,0726 · TORTUGA,infantiles,False,alto,2024-04-15,2300,18081
24943,OPERATIVO,2004-01-01,0819 · WOOBY,infantiles,True,medio,Ausente,1600,18075
24934,OPERATIVO,2004-01-01,0413 · LIEBRE,infantiles,True,medio,2024-08-22,-100,18069
24929,OPERATIVO,2002-01-01,0892 · EL GALLO BROMISTA,infantiles,True,alto,Ausente,1800,18065
24921,OPERATIVO,2006-01-01,1120 · MOTO,infantiles,True,bajo,2024-06-29,600,18062
24914,OPERATIVO,2005-01-01,0857 · CERDITO,infantiles,False,bajo,Ausente,1100,18056
24911,OPERATIVO,2002-01-01,0409 · LEON,infantiles,True,medio,2024-07-27,700,18055
24897,OPERATIVO,2002-01-01,1171 · EL MAMUT,infantiles,False,bajo,Ausente,600,18046
24887,OPERATIVO,2004-01-01,0967 · STINGER AMARILLO,infantiles,False,alto,2024-08-25,4100,18039
19293,OPERATIVO,2003-01-01,CIRCUITO DE SALTO 1,infantiles,False,bajo,2024-05-07,800,17628
19283,OPERATIVO,2011-07-02,PEANAS,infantiles,Desconocido,alto,Ausente,1800,17586
19227,OPERATIVO,2007-01-01,Arenero en Area Infantil,infantiles,True,bajo,2024-01-03,500,18532
19191,OPERATIVO,2005-01-01,ROLLIZO,infantiles,True,bajo,2023-10-24,100,18319
19020,OPERATIVO,2007-02-15,MADERA,infantiles,True,alto,Ausente,1200,17217
18996,OPERATIVO,2007-02-14,Arenero en Area Infantil,infantiles,True,medio,Ausente,400,17075
18871,OPERATIVO,2003-01-01,Redes en Areas Infantiles,infantiles,False,bajo,2024-09-20,1300,18133
18849,OPERATIVO,2011-02-06,PIRAMIDE RED,infantiles,False,bajo,2024-04-01,1200,17837
18846,OPERATIVO,2004-09-13,PIRAMIDE,infantiles,True,alto,2024-02-06,3500,16745
18813,OPERATIVO,2017-05-20,Redes en Areas Infantiles,infantiles,True,alto,Ausente,2400,17300
24882,OPERATIVO,2004-01-01,0826 · SPEEDY AZUL,infantiles,True,alto,2024-07-10,2300,18036
24874,OPERATIVO,2005-01-01,1036 · ELEFANTE,infantiles,Desconocido,bajo,2024-08-31,800,18032
24871,OPERATIVO,2001-01-01,0720 · TORO,infantiles,False,medio,2023-10-16,700,18031
24853,OPERATIVO,2004-01-01,0720 · TORO,infantiles,False,alto,Ausente,1500,18016
24850,OPERATIVO,2004-01-01,0641 · POLLO,infantiles,False,bajo,Ausente,1000,18013
24836,OPERATIVO,2004-01-01,0048 · CABALLO,infantiles,True,alto,2023-11-29,3100,18006
24830,OPERATIVO,2004-01-01,0157 · DEFIN,infantiles,False,medio,2023-10-29,1900,18003
24822,OPERATIVO,2007-01-01,0726 · TORTUGA,infantiles,True,medio,2024-04-27,200,18001
24813,OPERATIVO,2006-01-01,1120 · MOTO,infantiles,False,bajo,2024-01-25,300,17997
24800,OPERATIVO,1999-01-01,0857 · CERDITO,infantiles,False,bajo,2024-03-03,1000,17989
24796,OPERATIVO,2004-01-01,0132 · COCHE,infantiles,True,alto,Ausente,3600,17987
24775,OPERATIVO,2005-01-01,0726 · TORTUGA,infantiles,True,alto,Ausente,2400,17976
24761,OPERATIVO,2005-01-01,0507 · OVNI,infantiles,True,bajo,2024-08-25,1400,17966
24745,OPERATIVO,2004-01-01,0157 · DEFIN,infantiles,False,alto,Ausente,3600,17956
24726,OPERATIVO,2004-01-01,1036 · ELEFANTE,infantiles,False,alto,Ausente,600,17945
24708,OPERATIVO,2004-01-01,0123 · CIERVO,infantiles,True,alto,2024-04-05,1700,17936
24695,OPERATIVO,2009-01-01,1120 · MOTO,infantiles,False,medio,Ausente,2600,17928
24665,OPERATIVO,2005-01-01,OVNI,infantiles,False,bajo,2023-11-15,1300,17912
23510,OPERATIVO,2006-01-19,Balancin en Area Infantil,infantiles,True,medio,Ausente,1200,17195
23395,OPERATIVO,2007-04-19,Balancin en Area Infantil,infantiles,False,bajo,2024-10-13,700,17126
22596,OPERATIVO,2001-01-01,0349 · JMC-46,infantiles,True,alto,2024-04-21,4400,18610
22594,OPERATIVO,2004-01-01,Tobogan Autoportante en Area Infantil,infantiles,True,medio,2023-12-03,2300,18598
22570,OPERATIVO,2003-01-01,0325 · JMC-04,infantiles,True,alto,2024-06-24,1300,18548
22564,OPERATIVO,2009-01-01,1080 · JMC-490,infantiles,False,alto,2023-06-11,200,18529
22561,OPERATIVO,2004-01-01,1080 · JMC-490,infantiles,Desconocido,medio,2024-01-18,1300,18521
22550,OPERATIVO,2006-01-01,1080 · JMC-490,infantiles,True,alto,Ausente,3000,18500
22547,OPERATIVO,2004-01-01,1080 · JMC-490,infantiles,Desconocido,bajo,2024-09-17,200,18490
